degree,val_mse_mean,val_mse_std,train_mse_mean,train_mse_std,alpha_mean,alpha_mode
1,98421349.23913,19826923.05001163,98270605.85509565,2198760.658440485,9.1,10.0
2,88621386.22164151,10969293.520943463,83118265.068346,910456.5488331376,0.13600000000000004,0.01
3,402122923.97882354,815918024.6385965,74283030.99969457,1136588.024499957,5.41,10.0
